Fecha,Longitud,Edad,Madurez,Estado
9/02/2003,31,10,Inmaduro,1
10/07/2002,32,6,Inmaduro,1
7/18/2000,32,11,Inmaduro,1
6/11/2001,32,11,Inmaduro,2
8/08/2000,32,13,Inmaduro,2
10/04/2003,33,9,Inmaduro,1
7/17/2000,33,10,Inmaduro,1
8/18/2002,34,8,Inmaduro,1
7/12/2000,34,10,Inmaduro,1
7/25/2000,34,11,Inmaduro,1
7/17/2000,35,11,Inmaduro,1
7/13/2002,35,12,Inmaduro,1
7/17/2000,36,10,Inmaduro,1
8/06/2000,36,10,Maduro,2
7/16/2003,36,10,Maduro,1
7/25/2000,36,12,Inmaduro,1
8/27/2003,37,9,Inmaduro,1
7/18/2000,37,9,Maduro,2
7/25/2000,37,11,Inmaduro,1
5/13/2000,37,14,Inmaduro,1
6/21/2002,37,17,Maduro,1
6/03/2002,38,9,NA,2
8/12/2000,38,10,Inmaduro,2
7/18/2000,38,11,Inmaduro,2
6/21/2002,38,12,Inmaduro,1
6/16/2002,38,18,Maduro,2
10/03/2003,39,11,Inmaduro,2
8/06/2000,39,11,Maduro,2
5/13/2000,39,13,Inmaduro,1
8/30/2002,39,14,Maduro,6
6/21/2002,39,16,NA,1
6/11/2001,40,12,Inmaduro,6
8/31/2003,40,12,Maduro,7
6/11/2001,40,12,NA,2
10/06/2002,40,13,NA,7
10/06/2003,40,14,Inmaduro,1
6/03/2002,40,15,Maduro,3
8/27/2003,40,16,Inmaduro,2
5/10/2000,41,10,Maduro,4
5/13/2000,41,11,Inmaduro,1
7/18/2000,41,11,Maduro,2
8/18/2002,41,16,Maduro,6
5/21/2001,41,20,Maduro,4
6/09/2003,41,21,Maduro,2
5/26/2002,41,21,Maduro,2
10/01/2003,42,10,Inmaduro,2
7/29/2003,42,13,Maduro,7
7/25/2000,42,14,Maduro,7
5/04/2000,42,14,Maduro,5
10/25/2003,42,15,Maduro,8
6/21/2002,42,15,NA,2
5/04/2000,42,16,Maduro,5
9/17/2003,42,17,Maduro,7
7/17/2000,43,12,Maduro,2
4/07/2001,43,12,Maduro,3
5/27/2001,43,13,Maduro,4
6/21/2002,43,16,Maduro,1
9/13/2002,43,17,NA,7
10/07/2002,43,18,Maduro,1
9/08/2002,43,20,Maduro,1
9/04/2003,44,14,Inmaduro,1
9/09/2003,44,14,Maduro,7
6/21/2002,44,15,Maduro,6
10/07/2002,44,16,Maduro,6
6/11/2002,44,16,NA,2
5/04/2003,44,17,Maduro,3
6/11/2001,44,17,NA,2
10/07/2002,44,19,Maduro,7
5/21/2001,44,20,Maduro,6
6/16/2003,44,21,Maduro,3
8/06/2002,45,11,Maduro,6
7/01/2003,45,14,Maduro,3
5/10/2000,45,15,Maduro,5
7/12/2000,45,19,Maduro,6
9/29/2003,45,20,Maduro,6
5/10/2000,46,9,Maduro,4
5/10/2000,46,13,Maduro,4
8/23/2003,46,14,Maduro,7
10/27/2003,46,14,Maduro,7
5/10/2000,46,14,Maduro,4
10/02/2003,46,15,Maduro,2
5/10/2000,46,15,Maduro,4
5/10/2000,46,16,Maduro,2
8/18/2002,46,17,Maduro,6
5/04/2003,46,18,Maduro,3
10/06/2002,46,18,Maduro,2
8/25/2002,46,19,Maduro,1
8/12/2002,46,19,Maduro,6
6/03/2002,46,20,Maduro,2
6/09/2003,46,21,Maduro,2
5/04/2003,46,22,Maduro,6
5/27/2002,46,22,Maduro,4
5/27/2002,46,23,Maduro,2
6/10/2004,46,28,Maduro,6
10/06/2003,47,14,Maduro,7
7/25/2000,47,15,Maduro,6
5/21/2001,47,16,Maduro,6
5/13/2008,47,18,Inmaduro,2
10/07/2002,47,18,Maduro,6
8/05/2002,47,18,Maduro,6
8/03/2002,47,26,Maduro,N/A
8/19/2002,47,28,Maduro,6
5/21/2001,47,31,Maduro,4
7/18/2000,48,14,Maduro,6
10/25/2003,48,15,Maduro,7
7/26/2003,48,16,Maduro,4
6/21/2002,48,16,Maduro,6
10/03/2003,48,17,Maduro,6
10/07/2002,48,19,NA,7
6/16/2002,48,23,Maduro,6
5/04/2000,48,23,Maduro,5
10/07/2002,48,26,Maduro,6
5/04/2000,48,27,Maduro,5
9/08/2002,49,13,Maduro,1
10/07/2002,49,15,Inmaduro,1
9/07/2003,49,17,Maduro,7
6/16/2003,49,18,Maduro,6
8/06/2002,49,18,Maduro,6
10/07/2002,49,18,Maduro,7
5/04/2003,49,30,Maduro,7
4/28/2003,50,11,Maduro,4
8/08/2002,50,16,Maduro,NA
5/27/2002,50,20,Maduro,4
8/26/2003,51,21,Maduro,7
10/07/2002,51,25,Maduro,1
10/07/2002,51,28,Maduro,6
5/21/2001,52,13,Maduro,6
10/07/2002,52,30,Maduro,6
6/16/2002,52,30,Maduro,6
6/03/2002,52,31,Maduro,2
6/10/2004,52,31,Maduro,6
9/07/2003,53,18,NA,2
5/04/2000,53,26,Maduro,5
10/04/2003,53,28,Maduro,7
6/10/2004,53,28,Maduro,6
5/04/2000,53,29,Maduro,5
10/07/2002,53,30,Maduro,6
8/05/2002,54,20,Maduro,6
6/16/2002,54,42,Maduro,3
9/01/2002,56,44,Maduro,6
7/05/2003,57,18,Maduro,7
5/03/2003,57,19,Maduro,3
8/18/2002,57,32,Maduro,6
7/28/2002,57,70,Maduro,6
6/13/2003,58,32,Maduro,4
8/06/2002,58,39,Maduro,6
8/26/2003,60,28,Maduro,5
10/06/2003,60,28,Maduro,7
7/26/2002,60,33,Maduro,6
5/18/2001,61,42,Maduro,4
8/08/2000,61,89,Maduro,6
4/23/2001,62,61,Maduro,6
8/14/2003,64,42,Maduro,7
8/09/2002,65,54,Maduro,6
10/07/2002,65,94,Maduro,6
8/18/2002,67,50,Maduro,6
10/07/2002,68,88,Maduro,6
4/23/2001,70,66,Maduro,4
